STUDYAREAN,IMGPATH,SPECIESID,COMMONNAME
0,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_00809_8-6-2019.JPG,27.0,Opossum
1,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0668_190820\CLE-COLE0668_06354_8-15-2019.JPG,32.0,Tortoise/Turtle
2,BV Troughs,F:\Nilgai_photo_database\BV\BVT\BV_T_02_190604\BVT-BVT02_00006_5-30-2019.JPG,9.0,Humans
3,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_05110_12-29-2018.JPG,11.0,"Exotics, other"
4,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04015_12-18-2018.JPG,17.0,Raccoon
5,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_17_190403\RCW-RCW17_00733_3-13-2019.JPG,31.0,Squirrel
6,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_08_190207_Cam143\RCNX2561.JPG,19.0,Ocelot
7,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190619\CNE-CONE05.35_00467_6-19-2019.JPG,7.0,Coyote
8,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_02007_2-16-2019.JPG,29.0,Skunk
9,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_02_190910\BEM-BVEM02_00022_8-28-2019.JPG,15.0,Rabbit
10,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00506_6-13-2019.JPG,25.0,Dog
11,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190301\RUE-RUE01_00150_2-11-2019.JPG,24.0,Horse
12,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07_190507\RCW-RCW07_01330_5-4-2019.JPG,26.0,Armadillo
13,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190211\CNC-CONC11_02804_2-10-2019.JPG,6.0,Cattle
14,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_06_190521\CNC-CONC06_00101_5-15-2019.JPG,24.0,Horse
15,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_01_190207_Cam129\RCNX1736.JPG,10.0,Birds
16,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_00.2_190403_Cam85\RCW-RCW00.2_04375_3-20-2019.JPG,13.0,Nilgai
17,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_09_190827\RUS-RUS09_05395_8-21-2019.JPG,27.0,Opossum
18,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam79\RCW-RCW07.2_00120_2-13-2019.JPG,9.0,Humans
19,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_04_190603\CN-CON04_00981_5-24-2019.JPG,10.0,Birds
20,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_03096_1-30-2019.JPG,12.0,White-tailed deer
21,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_02701_7-27-2019.JPG,15.0,Rabbit
22,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00807_7-19-2019.JPG,33.0,Turkey
23,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_09_190827\RUS-RUS09_07854_8-22-2019.JPG,21.0,Mouse
24,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_03_190404_Cam161\BV_S_03_190404_Cam161_00417_3-19-2019.JPG,6.0,Cattle
25,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00597_6-13-2019.JPG,25.0,Dog
26,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190812\CNE-CONE05.4_00199_8-2-2019.JPG,32.0,Tortoise/Turtle
27,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190603\CNE-CONE05.35_00169_5-24-2019.JPG,26.0,Armadillo
28,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190827\BSE-BVSE02_24784_8-21-2019.JPG,0.0,None
29,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190603\CN-CON03_00691_5-29-2019.JPG,13.0,Nilgai
30,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190603\CNC-CONC65.5_03267_5-24-2019.JPG,10.0,Birds
31,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_00.2_190507_Cam88\RCW-RCW00.2_00592_4-25-2019.JPG,13.0,Nilgai
32,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00496_6-13-2019.JPG,25.0,Dog
