,STUDYAREAN,IMGPATH,SPECIESID,COMMONNAME,SPECIESWEIGHTS,OBJECT,OBJECTNAME,OBJWEIGHTS
163285,Russel Middle,F:\Nilgai_photo_database\RU\RUM\RU_M_01_190404\RUM-RUM01_00812_3-19-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
148610,Russel Middle,F:\Nilgai_photo_database\RU\RUM\RU_M_01_190424\RUM-RUM01_00732_4-20-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
745909,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_02_190211\CSE-COSE02_00243_1-25-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
1818120,BV South Middle,F:\Nilgai_photo_database\BV\BVSM\BV_SM_3_190813\BSM-BVSM3_00036_8-2-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
740894,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_16_190522\CSE-COSE16_00621_5-2-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
168940,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_07_190424\RUE-RUE07_00007_4-7-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
1079981,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05_190729\CNE-CONE05_00469_7-18-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
1444999,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_04_190522\CN-CON04_01831_5-19-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
181153,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_07_190404\RUE-RUE07_00429_3-28-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
1976814,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_01_190207_Cam129\RCNX0706.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
431875,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_01_190507\RCW-RCW01_00471_4-21-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
1360795,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_08_190123\CNC-CONC08_00004_1-9-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
148183,Russel Middle,F:\Nilgai_photo_database\RU\RUM\RU_M_01_190424\RUM-RUM01_00059_4-8-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
1114668,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.5_190211\CNE-CONE05.5_00300_1-25-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
1335290,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_0.12_190619\CNC-CONC0.12_00178_6-11-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
277959,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_09.1_190212\RCW-RCW09.1_02301_2-11-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
2499871,Buena Vista Mid,F:\Nilgai_photo_database\BV\BVM\BV_M_20_190110\BVM-BVM20_00558_12-22-2018.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
492402,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.1_190403\RCW-RCW02.1_05082_3-29-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
622076,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190729\CT-CT06_01592_7-10-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
440350,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_7.2_190212\RCW-RCW07.2_01315_1-26-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
96254,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_06_190404\RUS-RUS06_00086_3-17-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
1069548,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05_190827\CNE-CONE05_00163_8-24-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
2555229,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_09_190813\BVE-BVE09_00046_5-27-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
488459,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_13_CAM66\RCW-RCW13_00064_4-17-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
419483,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190212_Cam77\RCW-RCW07.1_02139_1-29-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
1987213,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_08_190301\BSW-BVSW08-Cam133_00143_2-8-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
741448,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_16_190522\CSE-COSE16_00748_5-2-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
621823,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190729\CT-CT06_01900_7-10-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
745866,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_02_190211\CSE-COSE02_00277_1-25-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
1191761,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190123\CNC-CONC65.5_06248_1-21-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
1820420,BV South Middle,F:\Nilgai_photo_database\BV\BVSM\BV_SM_1_190301\BSM-BVSM1_00093_2-20-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
1820036,BV South Middle,F:\Nilgai_photo_database\BV\BVSM\BV_SM_3_190730\BSM-BVSM3_00034_6-29-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
452919,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_03_190403\RCW-RCW03_04220_3-30-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
783972,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_13_190924\CSE-COSE13_00022_9-18-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
2489548,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_01_190301\BVN-BVN01_02131_2-21-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
2592748,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_08_190924\BVE-BVE08_00033_9-11-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
244367,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_00.2_190403_Cam85\RCW-RCW00.2_03991_3-15-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
180688,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_07_190404\RUE-RUE07_00284_3-18-2019.JPG,13.0,Nilgai,58.730270179183286,1,Nilgai,71.50120766163006
