,STUDYAREAN,IMGPATH,SPECIESID,COMMONNAME,SPECIESWEIGHTS,OBJECT,OBJECTNAME,OBJWEIGHTS
1714538,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_00809_8-6-2019.JPG,27.0,Opossum,2344.3385650224213,1,Animal,4.264798257492943
1607533,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0668_190820\CLE-COLE0668_06354_8-15-2019.JPG,32.0,Tortoise/Turtle,49789.28571428572,1,Animal,4.264798257492943
1792193,BV Troughs,F:\Nilgai_photo_database\BV\BVT\BV_T_02_190604\BVT-BVT02_00006_5-30-2019.JPG,9.0,Humans,15.204714504882464,1,Animal,4.264798257492943
1970745,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_05110_12-29-2018.JPG,11.0,"Exotics, other",4840.625,1,Animal,4.264798257492943
1969940,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04015_12-18-2018.JPG,17.0,Raccoon,476.66970594939596,1,Animal,4.264798257492943
392894,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_17_190403\RCW-RCW17_00733_3-13-2019.JPG,31.0,Squirrel,139410.0,1,Animal,4.264798257492943
2412105,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_08_190207_Cam143\RCNX2561.JPG,19.0,Ocelot,18343.42105263158,1,Animal,4.264798257492943
1122414,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190619\CNE-CONE05.35_00467_6-19-2019.JPG,7.0,Coyote,683.1590983338779,1,Animal,4.264798257492943
494763,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_02007_2-16-2019.JPG,29.0,Skunk,36686.84210526316,1,Animal,4.264798257492943
1887386,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_02_190910\BEM-BVEM02_00022_8-28-2019.JPG,15.0,Rabbit,631.1952912767885,1,Animal,4.264798257492943
823397,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00506_6-13-2019.JPG,25.0,Dog,5923.937677053825,1,Animal,4.264798257492943
199282,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190301\RUE-RUE01_00150_2-11-2019.JPG,24.0,Horse,56517.56756756757,1,Animal,4.264798257492943
417551,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07_190507\RCW-RCW07_01330_5-4-2019.JPG,26.0,Armadillo,2036.1733203505355,1,Animal,4.264798257492943
1194417,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190211\CNC-CONC11_02804_2-10-2019.JPG,6.0,Cattle,22.59798783189427,1,Animal,4.264798257492943
1153233,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_06_190521\CNC-CONC06_00101_5-15-2019.JPG,24.0,Horse,56517.56756756757,1,Animal,4.264798257492943
1978009,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_01_190207_Cam129\RCNX1736.JPG,10.0,Birds,34.082796838073506,1,Animal,4.264798257492943
243724,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_00.2_190403_Cam85\RCW-RCW00.2_04375_3-20-2019.JPG,13.0,Nilgai,58.730270179183286,1,Animal,4.264798257492943
130487,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_09_190827\RUS-RUS09_05395_8-21-2019.JPG,27.0,Opossum,2344.3385650224213,1,Animal,4.264798257492943
302130,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam79\RCW-RCW07.2_00120_2-13-2019.JPG,9.0,Humans,15.204714504882464,1,Animal,4.264798257492943
1442769,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_04_190603\CN-CON04_00981_5-24-2019.JPG,10.0,Birds,34.082796838073506,1,Animal,4.264798257492943
1516459,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_03096_1-30-2019.JPG,12.0,White-tailed deer,18.933172776575613,1,Animal,4.264798257492943
1643171,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_02701_7-27-2019.JPG,15.0,Rabbit,631.1952912767885,1,Animal,4.264798257492943
